ID_web;sum_of_interactions;count_of_articles;Colonna2;Colonna1;Colonna12;fame_index;exclusivity
web_1;131;1;6,800210859;0;3,40010543;3,40010543;3
web_2;23;1;1,10701107;0;0,553505535;0,553505535;1
web_3;35;2;1,739588824;4,166666667;2,953127746;2,953127746;5
web_4;225;1;11,75540327;0;5,877701634;5,877701634;1
web_5;247;1;12,91512915;0;6,457564576;6,457564576;4
web_6;55;3;2,793885082;8,333333333;5,563609208;5,563609208;4
web_7;586;8;30,78545071;29,16666667;29,97605869;29,97605869;5
web_8;334;19;17,50131787;75;46,25065894;46,25065894;5
web_9;6;1;0,210859251;0;0,105429626;0,105429626;5
web_10;106;1;5,482340538;0;2,741170269;2,741170269;3
web_11;199;3;10,38481813;8,333333333;9,359075734;9,359075734;4
web_12;82;5;4,217185029;16,66666667;10,44192585;10,44192585;5
web_13;694;4;36,4786505;12,5;24,48932525;24,48932525;5
web_14;99;1;5,113336848;0;2,556668424;2,556668424;3
web_15;9;1;0,36900369;0;0,184501845;0,184501845;1
web_16;498;1;26,14654718;0;13,07327359;13,07327359;5
web_17;26;1;1,265155509;0;0,632577754;0,632577754;4
web_18;97;1;5,007907222;0;2,503953611;2,503953611;2
web_19;110;1;5,693199789;0;2,846599895;2,846599895;5
web_20;16;1;0,73800738;0;0,36900369;0,36900369;5
web_21;57;3;2,899314707;8,333333333;5,61632402;5,61632402;4
web_22;186;1;9,699525567;0;4,849762783;4,849762783;2
web_23;498;1;26,14654718;0;13,07327359;13,07327359;2
web_24;30;1;1,47601476;0;0,73800738;0,73800738;5
web_25;1000;2;52,60938324;4,166666667;28,38802495;28,38802495;5
web_26;13;1;0,579862941;0;0,289931471;0,289931471;5
web_27;47;1;2,372166579;0;1,186083289;1,186083289;5
web_28;170;2;8,856088561;4,166666667;6,511377614;6,511377614;5
web_29;11;1;0,474433316;0;0,237216658;0,237216658;5
web_30;5;1;0,158144439;0;0,079072219;0,079072219;3
web_31;107;1;5,535055351;0;2,767527675;2,767527675;5
web_32;2;1;0;0;0;0;5
web_33;266;2;13,9167106;4,166666667;9,041688631;9,041688631;2
web_34;170;1;8,856088561;0;4,42804428;4,42804428;5
web_35;216;1;11,28096995;0;5,640484976;5,640484976;3
web_36;21;1;1,001581444;0;0,500790722;0,500790722;1
web_37;45;1;2,266736953;0;1,133368477;1,133368477;5
web_38;9;1;0,36900369;0;0,184501845;0,184501845;2
web_39;21;1;1,001581444;0;0,500790722;0,500790722;2
web_40;90;1;4,638903532;0;2,319451766;2,319451766;5
web_41;79;1;4,05904059;0;2,029520295;2,029520295;1
web_42;39;1;1,950448076;0;0,975224038;0,975224038;4
web_43;3;1;0,052714813;0;0,026357406;0,026357406;3
web_44;7;1;0,263574064;0;0,131787032;0,131787032;3
web_45;223;2;11,64997364;4,166666667;7,908320155;7,908320155;3
web_46;16;1;0,73800738;0;0,36900369;0,36900369;3
web_47;57;1;2,899314707;0;1,449657354;1,449657354;3
web_48;14;1;0,632577754;0;0,316288877;0,316288877;4
web_49;7;1;0,263574064;0;0,131787032;0,131787032;5
web_50;190;3;9,910384818;8,333333333;9,121859076;9,121859076;5
web_51;69;1;3,531892462;0;1,765946231;1,765946231;3
web_52;10;1;0,421718503;0;0,210859251;0,210859251;1
web_53;43;1;2,161307327;0;1,080653664;1,080653664;5
web_54;36;1;1,792303637;0;0,896151819;0,896151819;5
web_55;24;1;1,159725883;0;0,579862941;0,579862941;5
web_56;11;1;0,474433316;0;0,237216658;0,237216658;5
web_57;117;1;6,062203479;0;3,03110174;3,03110174;3
web_58;19;1;0,896151819;0;0,448075909;0,448075909;2
web_59;70;2;3,584607275;4,166666667;3,875636971;3,875636971;2
web_60;33;3;1,634159199;8,333333333;4,983746266;4,983746266;5
web_61;209;3;10,91196626;8,333333333;9,622649798;9,622649798;3
web_62;3;1;0,052714813;0;0,026357406;0,026357406;5
web_63;29;2;1,423299947;4,166666667;2,794983307;2,794983307;1
web_64;173;1;9,014232999;0;4,5071165;4,5071165;5
web_65;1899;25;100;100;100;100;5
web_66;10;2;0,421718503;4,166666667;2,294192585;2,294192585;3
web_67;274;6;14,3384291;20,83333333;17,58588122;17,58588122;4
web_68;28;2;1,370585134;4,166666667;2,768625901;2,768625901;5
web_69;264;1;13,81128097;0;6,905640485;6,905640485;2
web_70;8;1;0,316288877;0;0,158144439;0,158144439;3
web_71;6;1;0,210859251;0;0,105429626;0,105429626;3
web_72;300;7;15,70901423;25;20,35450712;20,35450712;3
web_73;88;1;4,533473906;0;2,266736953;2,266736953;5
web_74;38;2;1,897733263;4,166666667;3,032199965;3,032199965;5
web_75;160;6;8,328940432;20,83333333;14,58113688;14,58113688;5
web_76;35;3;1,739588824;8,333333333;5,036461079;5,036461079;5
web_77;19;1;0,896151819;0;0,448075909;0,448075909;4
web_78;8;1;0,316288877;0;0,158144439;0,158144439;1
web_79;64;1;3,268318397;0;1,634159199;1,634159199;5
web_80;4;1;0,105429626;0;0,052714813;0,052714813;2
web_81;9;2;0,36900369;4,166666667;2,267835178;2,267835178;5
web_82;96;3;4,955192409;8,333333333;6,644262871;6,644262871;5
web_83;139;4;7,221929362;12,5;9,860964681;9,860964681;5
web_84;19;1;0,896151819;0;0,448075909;0,448075909;5
web_85;55;1;2,793885082;0;1,396942541;1,396942541;5
web_86;89;1;4,586188719;0;2,29309436;2,29309436;5
web_87;3;1;0,052714813;0;0,026357406;0,026357406;3
web_88;35;5;1,739588824;16,66666667;9,203127746;9,203127746;5
web_89;17;1;0,790722193;0;0,395361096;0,395361096;3
